action_pack_gate_reason,city,confidence,decision,delivery_status,domain,index,next_product,order_intent_id,priority,product_code,province,quality_review_status,score,score_request_id,source_deep_order_intent_id,source_url,stage,status,target_name
,Brescia,0.63,watchlist,,studiodentisticogazzoli.it,12,,,medium,,BS,not_applicable,56,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-012,,https://studiodentisticogazzoli.it/,score,,Studio Dentistico Gazzoli
,Brescia,0.52,nurture,,dentalp.it,13,nurture_signal,,high,,BS,not_applicable,76,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-013,,https://dentalp.it/,score,,Dental P
,Brescia,0.52,nurture,nurture_signal_ready,dentalp.it,13,nurture_signal,ord_9b0fa25,high,nurture_signal,BS,not_applicable,76,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-013,,https://dentalp.it/,purchase,,Dental P
,Brescia,0.62,watchlist,,ferlinghettiandrea.it,14,,,medium,,BS,not_applicable,64,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-014,,https://ferlinghettiandrea.it/,score,,Studio Ferlinghetti Andrea
,Brescia,0.77,watchlist,,studioodontoiatricofranchini.it,15,,,medium,,BS,not_applicable,54,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-015,,https://studioodontoiatricofranchini.it/,score,,Studio Odontoiatrico Franchini
,Brescia,0.88,watchlist,,studioodontoiatricomarini.it,16,,,medium,,BS,not_applicable,52,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-016,,https://studioodontoiatricomarini.it/,score,,Studio Odontoiatrico Marini
,Brescia,0.62,nurture,,studiodentisticobrescia.it,17,nurture_signal,,medium,,BS,not_applicable,65,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-017,,https://studiodentisticobrescia.it/,score,,Studio Dentistico Brescia
,Brescia,0.62,nurture,nurture_signal_ready,studiodentisticobrescia.it,17,nurture_signal,ord_9c367a02,medium,nurture_signal,BS,not_applicable,65,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-017,,https://studiodentisticobrescia.it/,purchase,,Studio Dentistico Brescia
,Brescia,0.68,buy_deep_analysis,,studiodentisticosandrozamboni.it,18,deep_analysis,,high,,BS,not_applicable,79,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-018,,https://studiodentisticosandrozamboni.it/,score,,Studio Dentistico Sandro Zamboni
,Brescia,0.68,buy_deep_analysis,deep_analysis_ready,studiodentisticosandrozamboni.it,18,deep_analysis,ord_47a320f7,high,deep_analysis,BS,not_applicable,79,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-018,,https://studiodentisticosandrozamboni.it/,purchase,,Studio Dentistico Sandro Zamboni
