action_pack_gate_reason,city,commercial_strength,confidence,decision,delivery_status,domain,index,next_product,order_intent_id,priority,product_code,province,quality_review_status,score,score_request_id,source_deep_order_intent_id,source_url,spend_policy,stage,status,target_name
,Milano,medium,0.54,nurture,nurture_signal_ready,studiodentisticodonati.eu,9,nurture_signal,ord_1ac836ea,medium,nurture_signal,MI,not_applicable,70,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-009,,https://studiodentisticodonati.eu/,buy_low_or_mid_cost_next_step_only,purchase,,Studio Dentistico Donati
,Milano,weak,0.56,watchlist,,studiodentisticoaiello.it,10,,,medium,,MI,not_applicable,50,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-010,,https://studiodentisticoaiello.it/,watchlist_only,score,,Studio Dentistico Aiello
,Milano,medium,0.62,nurture,,claradent.it,11,nurture_signal,,medium,,MI,not_applicable,74,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-011,,https://claradent.it/,buy_low_or_mid_cost_next_step_only,score,,Claradent
,Milano,medium,0.62,nurture,nurture_signal_ready,claradent.it,11,nurture_signal,ord_54e78f3d,medium,nurture_signal,MI,not_applicable,74,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-011,,https://claradent.it/,buy_low_or_mid_cost_next_step_only,purchase,,Claradent
,Brescia,weak,0.63,watchlist,,studiodentisticogazzoli.it,12,,,medium,,BS,not_applicable,56,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-012,,https://studiodentisticogazzoli.it/,watchlist_only,score,,Studio Dentistico Gazzoli
,Brescia,medium,0.52,nurture,,dentalp.it,13,nurture_signal,,high,,BS,not_applicable,76,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-013,,https://dentalp.it/,buy_low_or_mid_cost_next_step_only,score,,Dental P
,Brescia,medium,0.52,nurture,nurture_signal_ready,dentalp.it,13,nurture_signal,ord_3ab5f94d,high,nurture_signal,BS,not_applicable,76,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-013,,https://dentalp.it/,buy_low_or_mid_cost_next_step_only,purchase,,Dental P
,Brescia,weak,0.62,watchlist,,ferlinghettiandrea.it,14,,,medium,,BS,not_applicable,64,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-014,,https://ferlinghettiandrea.it/,watchlist_only,score,,Studio Ferlinghetti Andrea
,Brescia,weak,0.77,watchlist,,studioodontoiatricofranchini.it,15,,,medium,,BS,not_applicable,54,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-015,,https://studioodontoiatricofranchini.it/,watchlist_only,score,,Studio Odontoiatrico Franchini
,Brescia,weak,0.88,watchlist,,studioodontoiatricomarini.it,16,,,medium,,BS,not_applicable,52,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-016,,https://studioodontoiatricomarini.it/,watchlist_only,score,,Studio Odontoiatrico Marini
,Brescia,medium,0.62,nurture,,studiodentisticobrescia.it,17,nurture_signal,,medium,,BS,not_applicable,65,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-017,,https://studiodentisticobrescia.it/,buy_low_or_mid_cost_next_step_only,score,,Studio Dentistico Brescia
,Brescia,medium,0.62,nurture,nurture_signal_ready,studiodentisticobrescia.it,17,nurture_signal,ord_c742aaba,medium,nurture_signal,BS,not_applicable,65,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-017,,https://studiodentisticobrescia.it/,buy_low_or_mid_cost_next_step_only,purchase,,Studio Dentistico Brescia
,Brescia,medium,0.68,buy_deep_analysis,,studiodentisticosandrozamboni.it,18,deep_analysis,,high,,BS,not_applicable,79,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-018,,https://studiodentisticosandrozamboni.it/,buy_low_or_mid_cost_next_step_only,score,,Studio Dentistico Sandro Zamboni
,Brescia,medium,0.68,buy_deep_analysis,deep_analysis_ready,studiodentisticosandrozamboni.it,18,deep_analysis,ord_95885adf,high,deep_analysis,BS,not_applicable,79,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-018,,https://studiodentisticosandrozamboni.it/,buy_low_or_mid_cost_next_step_only,purchase,,Studio Dentistico Sandro Zamboni
score below natural action threshold 80,Brescia,medium,0.68,buy_deep_analysis,,studiodentisticosandrozamboni.it,18,deep_analysis,,high,action_pack,BS,not_applicable,79,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-018,ord_95885adf,https://studiodentisticosandrozamboni.it/,buy_low_or_mid_cost_next_step_only,action_pack_not_bought,,Studio Dentistico Sandro Zamboni
,Brescia,weak,0.88,watchlist,,benacuslab.com,19,,,medium,,BS,not_applicable,64,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-019,,https://benacuslab.com/,watchlist_only,score,,Benacus Lab
,Brescia,medium,0.67,buy_deep_analysis,,studiobeghetti.com,20,deep_analysis,,high,,BS,not_applicable,78,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-020,,https://studiobeghetti.com/,buy_low_or_mid_cost_next_step_only,score,,Studio Beghetti
,Brescia,medium,0.67,buy_deep_analysis,deep_analysis_ready,studiobeghetti.com,20,deep_analysis,ord_3fe3907d,high,deep_analysis,BS,not_applicable,78,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-020,,https://studiobeghetti.com/,buy_low_or_mid_cost_next_step_only,purchase,,Studio Beghetti
score below natural action threshold 80,Brescia,medium,0.67,buy_deep_analysis,,studiobeghetti.com,20,deep_analysis,,high,action_pack,BS,not_applicable,78,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-020,ord_3fe3907d,https://studiobeghetti.com/,buy_low_or_mid_cost_next_step_only,action_pack_not_bought,,Studio Beghetti
,Brescia,weak,0.61,watchlist,,studiodentisticodebiasi.com,21,,,medium,,BS,not_applicable,63,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-021,,https://studiodentisticodebiasi.com/,watchlist_only,score,,Studio Dentistico De Biasi
,Bergamo,medium,0.52,nurture,,studiodentisticoredaelli.it,22,nurture_signal,,high,,BG,not_applicable,80,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-022,,https://studiodentisticoredaelli.it/,buy_low_or_mid_cost_next_step_only,score,,Studio Dentistico Redaelli
,Bergamo,medium,0.52,nurture,nurture_signal_ready,studiodentisticoredaelli.it,22,nurture_signal,ord_2ce32bc3,high,nurture_signal,BG,not_applicable,80,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-022,,https://studiodentisticoredaelli.it/,buy_low_or_mid_cost_next_step_only,purchase,,Studio Dentistico Redaelli
,Bergamo,weak,0.76,watchlist,,studiodentisticorusso.eu,23,,,medium,,BG,not_applicable,63,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-023,,https://studiodentisticorusso.eu/,watchlist_only,score,,Studio Dentistico Russo
,Bergamo,medium,0.88,buy_deep_analysis,,studiomottarossi.it,24,deep_analysis,,high,,BG,not_applicable,77,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-024,,https://studiomottarossi.it/,buy_low_or_mid_cost_next_step_only,score,,Studio Motta Rossi
,Bergamo,medium,0.88,buy_deep_analysis,deep_analysis_ready,studiomottarossi.it,24,deep_analysis,ord_4fb60586,high,deep_analysis,BG,not_applicable,77,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-024,,https://studiomottarossi.it/,buy_low_or_mid_cost_next_step_only,purchase,,Studio Motta Rossi
score below natural action threshold 80,Bergamo,medium,0.88,buy_deep_analysis,,studiomottarossi.it,24,deep_analysis,,high,action_pack,BG,not_applicable,77,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-024,ord_4fb60586,https://studiomottarossi.it/,buy_low_or_mid_cost_next_step_only,action_pack_not_bought,,Studio Motta Rossi
,Bergamo,weak,0.72,watchlist,,studiodentisticotrebeschi.it,25,,,medium,,BG,not_applicable,59,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-025,,https://studiodentisticotrebeschi.it/,watchlist_only,score,,Studio Dentistico Trebeschi
,Bergamo,weak,0.52,watchlist,,studiodentisticomaragliano.it,26,,,medium,,BG,not_applicable,61,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-026,,https://studiodentisticomaragliano.it/,watchlist_only,score,,Studio Dentistico Maragliano
,Bergamo,weak,0.52,watchlist,,studiodentisticodentisalute.com,27,,,medium,,BG,not_applicable,60,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-027,,https://studiodentisticodentisalute.com/,watchlist_only,score,,Studio Dentistico Denti Salute
,Bergamo,weak,0.52,watchlist,,studiodentisticoperico.it,28,,,medium,,BG,not_applicable,52,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-028,,https://studiodentisticoperico.it/,watchlist_only,score,,Studio Dentistico Perico
,Bergamo,weak,0.52,watchlist,,studioodontoiatricobergamo.it,29,,,medium,,BG,not_applicable,61,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-029,,https://studioodontoiatricobergamo.it/,watchlist_only,score,,Studio Odontoiatrico Bergamo
,Bergamo,weak,0.67,watchlist,,sdbergamo.it,30,,,medium,,BG,not_applicable,52,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-030,,https://sdbergamo.it/,watchlist_only,score,,SD Bergamo
