"index","domain","score","confidence","action","status","existing_order_found","order_intent_id","delivery_type","recommended_next_product","credits_consumed","real_payment_executed","external_contact_executed"
"1","clinic3.it","81","0.88","skipped_existing_order","200","True","ord_da750cd6","deep_opportunity_analysis","action_pack","0","False","False"
"13","studiobianchiortodonzia.it","77","0.88","created_purchase_intent","200","False","ord_2907ad93","deep_opportunity_analysis","action_pack","1","False","False"
"21","studiodentalelecco.it","75","0.67","created_purchase_intent","200","False","ord_ce2b3d8c","deep_opportunity_analysis","action_pack","1","False","False"
